ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished
87714486,-,0,RM 1 700 per month,Kuala Lumpur - Old Klang Road,Service Residence,2,1,2,775 sq.ft.,Fully Furnished
100316101,Damansara Foresta,2016,RM 2 800 per month,Kuala Lumpur - Sri Damansara,Condominium,3,2,3,1610 sq.ft.,Fully Furnished
98738510,Tuan Residency,0,RM 1 800 per month,Kuala Lumpur - Jalan Kuching,Service Residence,3,1,2,1105 sq.ft.,Fully Furnished
100315645,Residensi Tasikmas,0,RM 1 300 per month,Kuala Lumpur - Cheras,Apartment,3,0,2,850 sq.ft.,Fully Furnished
100315556,The Nest Residence @ Genting Klang,0,RM 1 499 per month,Kuala Lumpur - Setapak,Service Residence,2,1,1,700 sq.ft.,Fully Furnished
100315549,Residensi Pandanmas 2,0,RM 1 300 per month,Kuala Lumpur - Desa Pandan,Apartment,3,0,2,900 sq.ft.,Fully Furnished
100315490,Blok Desa Awana Apartment,0,RM 1 000 per month,Kuala Lumpur - Cheras,Flat,3,0,2,700 sq.ft.,Fully Furnished
100315430,The Address @ Taman Desa,2022,RM 3 300 per month,Kuala Lumpur - Taman Desa,Condominium,4,2,3,1118 sq.ft.,Fully Furnished
98145596,Regalia Residence,2012,RM 2 600 per month,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,2,1,1,805 sq.ft.,Fully Furnished
100175889,216 Residences,2022,RM 1 800 per month,Kuala Lumpur - Kuchai Lama,Service Residence,2,1,2,804 sq.ft.,Fully Furnished
100314994,The Era,2021,RM 2 800 per month,Kuala Lumpur - Segambut,Service Residence,3,2,2,1033 sq.ft.,Fully Furnished
100314931,The Meritz,2008,RM 3 800 per month,Kuala Lumpur - Ampang,Condominium,2,0,2,1400 sq.ft.,Fully Furnished
100314911,Casa Mutiara,2007,RM 2 000 per month,Kuala Lumpur - Bukit Bintang,Service Residence,2,0,2,900 sq.ft.,Fully Furnished
100314485,Pangsapuri Melur (Sentul),2006,RM 1 750 per month,Kuala Lumpur - Sentul,Apartment,3,1,2,1010 sq.ft.,Fully Furnished
100274489,One Maxim,2020,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,3,1,2,819 sq.ft.,Fully Furnished
100314619,OUG Parklane,0,RM 1 600 per month,Kuala Lumpur - OUG,Apartment,3,2,2,950 sq.ft.,Fully Furnished
100314405,Royal Regent (Sri Putramas 3),2013,RM 1 800 per month,Kuala Lumpur - Jalan Kuching,Condominium,2,1,2,880 sq.ft.,Fully Furnished
100314147,Arte Plus Jalan Ampang,2018,RM 1 500 per month,Kuala Lumpur - Ampang,Service Residence,1,1,1,680 sq.ft.,Fully Furnished
100207334,M Centura,2021,RM 2 800 per month,Kuala Lumpur - Sentul,Service Residence,3,0,2,850 sq.ft.,Fully Furnished
100207869,M Centura,2021,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,0,2,850 sq.ft.,Fully Furnished
100314273,Maxim Residences,2017,RM 1 850 per month,Kuala Lumpur - Cheras,Service Residence,3,1,2,1050 sq.ft.,Fully Furnished
100314272,"The Park 2, Pavilion Bukit Jalil",2021,RM 3 500 per month,Kuala Lumpur - Bukit Jalil,Service Residence,2,0,1,750 sq.ft.,Fully Furnished
100314024,KL Gateway Premium Residences,0,RM 2 000 per month,Kuala Lumpur - Bangsar South,Service Residence,1,0,1,525 sq.ft.,Fully Furnished
100313974,M Vertica,2023,RM 2 600 per month,Kuala Lumpur - Cheras,Condominium,3,2,2,850 sq.ft.,Fully Furnished
98877856,Idaman Residence @ KLCC,2016,RM 4 800 per month,Kuala Lumpur - KLCC,Condominium,3,1,4,1717 sq.ft.,Fully Furnished
99862321,Residensi Sefina Mont Kiara,2019,RM 4 600 per month,Kuala Lumpur - Mont Kiara,Condominium,3,2,2,1548 sq.ft.,Fully Furnished
99579743,M Vertica,2023,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,3,3,2,850 sq.ft.,Fully Furnished
100184282,Nova 1 Apartment,0,RM 1 250 per month,Kuala Lumpur - Kepong,Apartment,2,0,1,750 sq.ft.,Fully Furnished
99980862,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1,2,1125 sq.ft.,Fully Furnished
100313594,Plaza Menjalara,0,RM 1 600 per month,Kuala Lumpur - Bandar Menjalara,Condominium,3,2,2,1180 sq.ft.,Fully Furnished
99984437,PPR Kampung Baru Air Panas,0,RM 880 per month,Kuala Lumpur - Setapak,Flat,3,0,2,800 sq.ft.,Fully Furnished
100313260,EkoCheras Service Apartment,2017,RM 3 500 per month,Kuala Lumpur - Cheras,Service Residence,2,1,2,1121 sq.ft.,Fully Furnished
100313255,Pangsapuri Mawar (Sentul),0,RM 1 400 per month,Kuala Lumpur - Sentul,Condominium,3,2,2,1010 sq.ft.,Fully Furnished
100313148,Melur Apartment (Sentul),2006,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,3,1,2,1065 sq.ft.,Fully Furnished
100312995,M Centura,2021,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,1,2,850 sq.ft.,Fully Furnished
100312994,Inspirasi Mont Kiara,0,RM 2 950 per month,Kuala Lumpur - Mont Kiara,Service Residence,3,2,2,940 sq.ft.,Fully Furnished
100222061,PV9 Residences @ Taman Melati,2022,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,2,2,1000 sq.ft.,Fully Furnished
100313080,Arena Green,2000,RM 1 300 per month,Kuala Lumpur - Bukit Jalil,Condominium,2,0,2,837 sq.ft.,Fully Furnished
100312740,Panorama Residences (Sentul),2014,RM 1 800 per month,Kuala Lumpur - Sentul,Condominium,3,1,2,1100 sq.ft.,Fully Furnished
100312920,"The Veo, Kuala Lumpur",2017,RM 2 200 per month,Kuala Lumpur - Setapak,Condominium,1,1,1,700 sq.ft.,Fully Furnished
100312700,Residensi Rampai II,2021,RM 2 000 per month,Kuala Lumpur - Setapak,Apartment,4,2,2,950 sq.ft.,Fully Furnished
98845611,PPA1M Metropolitan Kepong,2018,RM 1 300 per month,Kuala Lumpur - Kepong,Condominium,4,1,2,1000 sq.ft.,Fully Furnished
95301490,PPA1M METROPOLITAN KEPONG,0,RM 1 600 per month,Kuala Lumpur - Kepong,Condominium,5,0,2,1500 sq.ft.,Fully Furnished
96434606,-,0,RM 3 600 per month,Kuala Lumpur - Wangsa Maju,Service Residence,3,2,4,1518 sq.ft.,Fully Furnished
100312405,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1,2,1076 sq.ft.,Fully Furnished
100312152,28 Boulevard,2019,RM 1 900 per month,Kuala Lumpur - Pandan Perdana,Apartment,2,1,2,678 sq.ft.,Fully Furnished
100312066,THE FENNEL AT SENTUL EAST,2017,RM 3 400 per month,Kuala Lumpur - Sentul,Condominium,3,3,3,1186 sq.ft.,Fully Furnished
100312333,222 Residency,2013,RM 650 per month,Kuala Lumpur - Setapak,Condominium,4,2,2,1200 sq.ft.,Fully Furnished
99717664,D'Suria Condominium,2015,RM 2 400 per month,Kuala Lumpur - Ampang,Condominium,3,1,2,1060 sq.ft.,Fully Furnished
